Button Number,Latitude,Longitude
ゴミ,36.10954837660678,140.09990670083522
ゴミ,36.10945482874646,140.09990698897593
街灯少ない,36.10949511175457,140.09988328057463
落書き,36.10949511175457,140.09988328057463
ゴミ,36.10949511175457,140.09988328057463
街灯少ない,36.10950296801854,140.09985805237628
落書き,36.10950296801854,140.09985805237628
ゴミ,36.10950296801854,140.09985805237628
街灯少ない,36.10950296801854,140.09985805237628
落書き,36.10950296801854,140.09985805237628
街灯少ない,36.10947153578045,140.0998746863581
落書き,36.10947153578045,140.0998746863581
落書き,36.10947153578045,140.0998746863581
落書き,36.10947153578045,140.0998746863581
落書き,36.109525893066134,140.0999018720204
落書き,36.109525893066134,140.0999018720204
落書き,36.109525893066134,140.0999018720204
落書き,36.109525893066134,140.0999018720204
落書き,36.109525893066134,140.0999018720204
落書き,36.109525893066134,140.0999018720204
落書き,36.109525893066134,140.0999018720204
落書き,36.109525893066134,140.0999018720204
落書き,36.109525893066134,140.0999018720204
落書き,36.109525893066134,140.0999018720204
落書き,36.109481656578744,140.09994696691575
落書き,36.109481656578744,140.09994696691575
ホームレス,36.111191553097434,140.0946485718154
ホームレス,36.08296017165862,140.11146593851979
街灯少ない,36.082927943240925,140.1114990470373
落書き,36.082927943240925,140.1114990470373
匂い,36.0828919429668,140.11155948055918
ホームレス,36.0828919429668,140.11155948055918
落書き,36.08218248832704,140.11203495056031
ホームレス,35.61937786775047,139.75212282243655
ホームレス,33.94531411946497,-118.38183518393481
ゴミ,33.94398694922374,-118.35244297825298
ゴミ,33.943898657590296,-118.35244491896549
落書き,33.943822839433295,-118.35243335885855
ゴミ,33.94358163989449,-118.35243729825655
ゴミ,33.942822252813556,-118.35244024997208
匂い,33.94189747053566,-118.35247848193939
ゴミ,33.93418356313737,-118.35234906535442
test,33.946582628682435,-118.38164733878898
test,33.9465590797667,-118.38167544905929
ゴミ,33.92880263857079,-118.38475867367993
落書き,33.927608043918404,-118.25461481708872
ゴミ,33.92759544826779,-118.25465004380872
ゴミ,33.927782925128454,-118.25429178801038
落書き,33.92884168433676,-118.25432329509732
落書き,33.93091791748109,-118.25424345677853
ゴミ,33.9339659923325,-118.25420145863393
ゴミ,33.93443688177862,-118.25419619925651
落書き,33.93462606733576,-118.25419414499699
ゴミ,33.93581426762841,-118.25417685037296
ゴミ,33.93968287470278,-118.25413724838926
ゴミ,33.940384457191186,-118.25412833310911
ゴミ,33.942579616818364,-118.25411408608801
落書き,33.94285557281818,-118.25411349165798
ゴミ,33.94409165140176,-118.25408933918881
ゴミ,33.94483038253753,-118.25407472304812
ゴミ,33.9469658643672,-118.25405555737645
落書き,33.94737803232115,-118.25405061363011
ゴミ,33.94853166099083,-118.25405103947743
落書き,33.949226037128845,-118.25404733504367
ゴミ,33.950110456224834,-118.25403965074604
ゴミ,33.95237681310598,-118.25588252030587
落書き,33.952689345381195,-118.25615940333599
落書き,33.952837109003426,-118.25628030106846
ゴミ,33.95325330280657,-118.25549861872682
ゴミ,33.953299702001644,-118.25271217393755
ゴミ,33.95333053186818,-118.24800091712225
落書き,33.953329478846335,-118.24783778084176
ゴミ,33.953231834243454,-118.24439405848493
ゴミ,33.953246882578256,-118.24240272242717
落書き,33.953249103962506,-118.24221466864631
落書き,33.95323571697953,-118.24091948276497
ゴミ,33.95323660099627,-118.24079970398029
ゴミ,33.95323321045024,-118.23878157369627
落書き,33.953256828062486,-118.23792514201953
ゴミ,33.95325986206428,-118.2371659629282
落書き,33.95325986206428,-118.2371659629282
落書き,33.95325675603785,-118.23538456955349
落書き,33.95324606376392,-118.23363692211163
落書き,33.95325616762712,-118.23263636037414
ゴミ,33.95323959893866,-118.2311355562678
落書き,33.95324910253023,-118.23098545994154
ゴミ,33.9532646123391,-118.2304953220199
落書き,33.9532570877874,-118.23037247624714
ゴミ,33.95521435498813,-118.23052421258795
落書き,33.955485545583514,-118.23058577667894
落書き,33.9592551833085,-118.23141352156546
ゴミ,33.959874502282155,-118.23155485112909
ゴミ,33.96075787232339,-118.2317516622024
落書き,33.96112038265397,-118.23182996968139
落書き,33.962625749440825,-118.23214184503837
ゴミ,33.962625749440825,-118.23214184503837
ゴミ,33.96441314039868,-118.23258619271476
ゴミ,33.9654561915623,-118.23281049850713
ゴミ,33.96660319671611,-118.23303955864057
落書き,33.96664098441736,-118.23304807760468
ゴミ,33.96768893222279,-118.23328186977488
ゴミ,33.96843955690298,-118.23345682183307
ゴミ,33.96910562063274,-118.23361591790446
ゴミ,33.970018173120444,-118.23382169324611
ゴミ,33.97057470876661,-118.23394753720432
ゴミ,33.97164342348333,-118.2341867321336
落書き,33.97180163840278,-118.23422164341729
ゴミ,33.97306420339053,-118.23450040408157
ゴミ,33.97376704335533,-118.23460334223408
ゴミ,33.97715718853744,-118.23526329968685
ゴミ,33.98005942757616,-118.23590532961568
落書き,33.981865564012764,-118.23629304769956
落書き,33.98402763846679,-118.23678205505878
ゴミ,33.987961266148666,-118.2376507386183
ゴミ,33.98960855005709,-118.23790614689358
ゴミ,33.99568232434753,-118.23853564903202
ゴミ,33.99663032053909,-118.23862180333363
ゴミ,33.997610160869726,-118.23870321754349
ゴミ,33.99810546416066,-118.23874837257848
ゴミ,33.99935387861164,-118.23885834085512
ゴミ,34.00150841981179,-118.23902873064017
ゴミ,34.00334216396883,-118.23914063796576
落書き,34.00643347300031,-118.2393975556998
ゴミ,34.006908992100875,-118.23942044944941
ゴミ,34.0104323277616,-118.23969173718591
ゴミ,34.014993647378574,-118.239587108225
落書き,34.0155600834162,-118.23964606402625
ゴミ,34.01802861906799,-118.23963626531224
ゴミ,34.02249470514223,-118.2393545742182
ゴミ,34.02422881414813,-118.23924805811295
ゴミ,34.029036660274606,-118.2389689020934
落書き,34.02965419119358,-118.2389264386361
ゴミ,34.03093052408109,-118.23885234758843
ゴミ,34.03222516341044,-118.23877995075256
ゴミ,34.03589412856754,-118.23855511219868
ゴミ,34.03783517425455,-118.23843164388984
ゴミ,34.03940616178702,-118.23833288635895
落書き,34.040061951747596,-118.23829896793961
ゴミ,34.04035305968777,-118.23828996430146
ゴミ,34.0411804494328,-118.23824230272936
落書き,34.04234538511484,-118.23816236147353
ゴミ,34.04451457192407,-118.23804671325749
落書き,34.04558169700536,-118.23805576378074
落書き,34.04685424598131,-118.2380659702441
ゴミ,34.04685424598131,-118.2380659702441
ゴミ,34.05066259654271,-118.23807081888121
落書き,34.05548440667103,-118.23761073080372
ゴミ,34.05714642477072,-118.23727768155824
落書き,34.06094676541398,-118.23646117659793
ゴミ,34.0652447874187,-118.24680985130955
ゴミ,34.0654475405659,-118.24872246248488
落書き,34.06471178797734,-118.24882725438353
ゴミ,34.064421964971686,-118.24848201318389
ゴミ,34.06371600230069,-118.24763261667991
落書き,34.06197159728104,-118.24776174146841
落書き,34.05818655518293,-118.25408571398785
ゴミ,33.97493900185452,-118.28127456278798
落書き,33.97493900185452,-118.28127456278798
ゴミ,33.974609123118555,-118.28394303173806
落書き,33.974607858707905,-118.283892274271
ゴミ,33.97456943056117,-118.2819021052804
ゴミ,33.97415363232975,-118.28133171435285
ゴミ,33.972809071130044,-118.28132660055562
ゴミ,33.971432679494875,-118.28133925824164
ゴミ,33.91644096005141,-118.28716015454222
ゴミ,33.9164988842167,-118.2889863197862
ゴミ,33.91649863159146,-118.29025721897983
ゴミ,33.92821442056366,-118.29160872566759
ゴミ,33.955309389838675,-118.37712107615947
ゴミ,33.944890837265135,-118.39634455163923
ゴミ,33.94881648789958,-118.39331962278203
ゴミ,33.94881648789689,-118.39274472425787
ゴミ,33.94886258699836,-118.39435701669129
落書き,33.957472891257574,-118.39612617386199
落書き,33.975225346606635,-118.43238491542468
ゴミ,33.976699407944366,-118.4338122963339
落書き,33.97680552462917,-118.43395725613637
ゴミ,33.97795993957756,-118.43565087403417
鉄格子,33.99078964873655,-118.44796480767052
落書き,33.994313001271465,-118.45321159037007
落書き,33.99693159194406,-118.45870084712095
落書き,34.00054849032357,-118.4661614780866
落書き,34.00479099859389,-118.47335844248613
ゴミ,34.012209556519956,-118.49018689161183
落書き,34.03561849270379,-118.47133901184387
ゴミ,34.041232119478856,-118.46174024456124
ゴミ,34.042222440649766,-118.45934877464873
ゴミ,34.04357520010972,-118.45632114724886
落書き,34.04485023578576,-118.45340290139222
ゴミ,34.047073541365705,-118.44613319052802
ゴミ,34.04781852718998,-118.44340762826918
ゴミ,34.04492276244434,-118.44209638805934
落書き,34.041190972797246,-118.43897387525196
ゴミ,34.03920161992942,-118.43722702601143
落書き,34.03854288660667,-118.43664378720288
落書き,34.03751027001551,-118.43567653715854
落書き,34.03669364614061,-118.43498415132548
ゴミ,34.03652005562751,-118.43484114405214
落書き,34.03564676675725,-118.43456842829274
ゴミ,34.031869321490376,-118.43167618662739
ゴミ,34.03157731974014,-118.43142852693158
落書き,34.031542807422106,-118.43140497003968
ゴミ,34.031542807422106,-118.43140497003968
ゴミ,34.0312285189524,-118.43117148601185
ゴミ,34.03077600881076,-118.43081293181937
落書き,34.02884366152477,-118.42960272656755
ゴミ,34.02653674508397,-118.42821021812885
落書き,34.01095913367476,-118.41575369122381
落書き,33.999732660939195,-118.40124090833062
ゴミ,33.983444740438934,-118.39483638230176
ホームレス,33.95518371463073,-118.39625166619254
